Id,Language,Include Regex,Test Framework ,
1,c,"#include +[<|""][\w\.]*Cunit\.",CUnit,
2,c,"#include +[<|""][\w\.]*check.h",Check,
3,c,"#include +[<|""][\w\.]*freetype\.",API Sanity Checker,
4,c,"#include +[<|""][\w\.]*cmockery\.h",cmockery,
5,c,"#include +[<|""][\w\.]*MyTest\.h",AceUnit,
6,c,"#include +[<|""][\w\.]*cfixcc\.h",cfix,
7,c,"#include +[<|""][\w\.]*cbdd\.h",cbdd,
8,c,"#include +[<|""][\w]*/?tests.h",SimpleCTest,
9,c,"#include +[<|""][\w\.]*seatest\.h",seatest,
10,c,"#include +[<|""]atf-c\.h",Automated Testing Framework,
11,c,"#include +[<|""]autounit/autounit\.h",AutoUnit,
12,c,"#include +[<|""]cgreen/cgreen\.h",CGreen,
13,c,"#include +[<|""]CppUTest[\\|/]CommandLineTestRunner\.h",CppUTest,
14,c,"#include +[<|""]ctest\.h",CTest,
15,c,"#include +[<|""]test-sample[\\|/]test_def\.h",CUnitWin32,
16,c,"#include +[<|""]cut\.h",CUT,
17,c,"#include +[<|""][cC]u[tT]est\.h",CuTest,
18,c,"#include +[<|""]cutter\.h",Cutter,
19,c,"#include +[<|""]embUnit[\\|/]embUnit\.h",EmbeddedUnit,
20,c,"#include +[<|""]fct\.h",FCTX,
21,c,"#include +[<|""]glib\.h",GLib Testing,
22,c,"#include +[<|""]lcut\.h",lcut,
23,c,"#include +[<|""]u[\\|/]libu\.h",LibU,
24,c,"#include +[<|""]minunit\.h",MinUnit,
25,c,"#include +[<|""]mut\.h",Mut,
27,c,"#include +[<|""]opmock\.h",Opmock,
28,c,"#include +[<|""]rcunit\.h",RCUNIT,
29,c,"#include +[<|""]sput\.h",Sput,
30,c,"#include +[<|""]srtest\.h",STRIDE,
31,c,"#include +[<|""]testape\.h",TestApe,
32,c,"#include +[<|""]test-dept\.h",Test Dept.,
33,c,"#include +[<|""]tf\.h",TF unit test,
34,c,"#include +[<|""]xtests[\\|/]xtests\.h",xTests,
35,cpp,"#include +[<|""]freetype",API Sanity Checker,
36,cpp,"#include +[<|""]simplectest[\\|/]tests\.h",SimpleCTest,
37,cpp,"#include +[<|""]opmock\.h",Opmock,
38,cpp,"#include +[<|""]aeryn[\\|/]",Aeryn ,
39,cpp,"#include +[<|""]bandit[\\|/]",Bandit,
40,cpp,"#include +[<|""]boost[\\|/]test[\\|/]",Boost Test Library,
41,cpp,"#include +[<|""]catch\.hpp",CATCH,
43,cpp,"#include +[<|""]cfixcc\.h",cfix,
44,cpp,"#include +[<|""]IAssert\.h",Cput,
45,cpp,"#include +[<|""]CppUTest[\\|/]CommandLineTestRunner\.h",CppUTest,
46,cpp,"#include +[<|""]cppunit",CppUnit,
47,cpp,"#include +[<|""]CppUnitLite",CppUnitLite,
48,cpp,"#include +[<|""]cpunit",CPUnit,
49,cpp,"#include +[<|""]crpcut\.hpp",crpcut,
50,cpp,"#include +[<|""]cute\.h",CUTE,
51,cpp,"#include +[<|""]cutee\.h",cutee,
52,cpp,"#include +[<|""]cxxtest[\\|/]",CxxTest,
53,cpp,"#include +[<|""]embUnit[\\|/]embUnit\.h",EmbeddedUnit,
54,cpp,"#include +[<|""]exercisix\.h",Exercisix,
55,cpp,"#include +[<|""]fakeit\.hpp",FakeIt,
56,cpp,"#include +[<|""]fct\.h",FCTX,
57,cpp,"#include +[<|""]fructose[\\|/]",Fructose,
58,cpp,"#include +[<|""]gmock[\\|/]",Google C++ Mocking Framework,
59,cpp,"#include +[<|""]gmock[\\|/]",Google Test,
60,cpp,"#include +[<|""]UnitTest\.hpp",Hestia,
61,cpp,"#include +[<|""]Hippomocks\.h",Hippomocks,
62,cpp,"#include +[<|""]igloo",Igloo,
63,cpp,"#include +[<|""]lest\.hpp",lest,
64,cpp,"#include +[<|""]littletest\.hpp",liblittletest,
